이름,주차가능대수,위도,경도
기장중학교 정문 주변,10,35.24530092,129.2171912
동산그린타워 주변 이면도로,63,35.248948,129.216946
군청사부설주차장,410,35.2435223,129.2229656
신천리공영주차장,161,35.243482,129.223773
오랑대 공영주차장,65,35.20509906,129.2278508
청강리 기장병원 주변 이면도로,200,35.238275,129.218303
일광면사무소주변,30,35.26420565,129.2322619
일광해수욕장노상공영주차장,47,35.261539,129.233086
일광해수욕장 주변,50,35.261327,129.233319
이천마을 공영주차장,18,35.267603,129.236131
오리 대룡마을,37,35.3698421,129.264722
임랑해수욕장 주변 행정봉사실 옆,51,35.31848129,129.263677
장안읍 임랑리 아름마을,17,35.316338,129.259625
하장안마을 공영주차장,28,35.362903,129.249065
상장안마을 공영주차장,35,35.362479,129.250099
장안사 진입도로변,106,35.371196,129.241907
좌천 재래시장,55,35.30900452,129.2429784
정관읍 달산리 성림아파트 전면도로,8,35.32208372,129.1943896
정관읍상업지역노상공영주차장,54,35.322927,129.177814
정관 모전리 공영주차장,13,35.33536741,129.166157
용수리 공영주차장,12,35.326936,129.171662
백길마을 공영주차장,25,35.286565,129.155375
마지마을 공영주차장,29,35.274765,129.165284
감만2동 제1공영주차장,22,35.12114984,129.0867098
진남로232번길 공영주차장,28,35.14607313,129.0744759
문현광원맨션 주변,30,35.14343443,129.078477
성암사 주변,22,35.13401034,129.0766753
문현2동 주민센터윗편,12,35.14430508,129.064241
하이빌 주변,11,35.14464472,129.0660971
신풍상사 주변,9,35.14648735,129.0683819
현대오일뱅크주유소 옆,29,35.13578522,129.0690106
신우주택 주변,6,35.11908906,129.1074579
솔밭공원 윗길,23,35.11859428,129.1073048
용호중학교 옆,42,35.11862733,129.1171895
용호만유람선터미널 부설주차장,66,35.13272835,129.1153521
용호부두 공영주차장.,172,35.1321062,129.1160951
유엔평화로9번길(항도빌라주변),11,35.13403859,129.0942978
범1-6(주거지),12,35.1388698,129.055731
범1-3(주거지),9,35.13919365,129.0534266
범일1동공영주차장,45,35.13947459,129.0532274
범1-2(주거지),7,35.1392086,129.0525449
범1-1(주거지),6,35.13871348,1290521946
범1-5(주거지),9,35.1388698,129.055731
범1-4(주거지),22,35.13226412,129.0581801
범4-7(주거지),9,35.13806421,129.0524328
범1-17(주거지),13,35.13778041,129.0497944
범4-1(주거지),4,35.13804567,129.0499092
범일초등공영,90,35.13957116,129.0496534
범4-3(주거지),13,35.13806421,129.0524328
범4-6(주거지),9,35.13806421,129.0524328
범일4동공영,19,35.14051494,129.0516079
범4-5(주거지),8,35.13806421,129.0524328
범4-2(주거지),16,35.13804567,129.0499092
범4-4(주거지),4,35.13806421,129.0524328
